ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
GO:0019883,antigen processing and presentation of endogenous antigen,6/132,30/18842,0.2,28.5484848484849,12.6836107921291,5.45399413739658e-08,2.9154077752629e-05,2.9154077752629e-05,HLA-DRB1/IDE/HLA-B/HLA-C/TAP2/HLA-DRA,6
GO:0002495,antigen processing and presentation of peptide antigen via MHC class II,6/132,32/18842,0.1875,26.7642045454546,12.2517852663386,8.22863297738664e-08,4.03203015891946e-05,4.03203015891946e-05,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DRA,6
GO:0002504,antigen processing and presentation of peptide or polysaccharide antigen via MHC class II,6/132,34/18842,0.176470588235294,25.1898395721925,11.8577744490197,1.20729733107602e-07,5.46069869748231e-05,5.46069869748231e-05,HLA-DRB1/HLA-DRB5/HLA-DQA1/HLA-DQB1/HLA-DQA2/HLA-DRA,6
GO:0001910,regulation of leukocyte mediated cytotoxicity,8/132,89/18842,0.0898876404494382,12.8307797071842,9.39669305760526,2.05597840592714e-07,8.63510930489398e-05,8.63510930489398e-05,NCR3/HLA-DRB1/RASGRP1/MICA/AGER/HLA-B/HLA-C/HLA-DRA,8
GO:0031341,regulation of cell killing,8/132,99/18842,0.0808080808080808,11.5347413529232,8.82722036779103,4.70043524806827e-07,0.000184257061724276,0.000184257061724276,NCR3/HLA-DRB1/RASGRP1/MICA/AGER/HLA-B/HLA-C/HLA-DRA,8
GO:0001913,T cell mediated cytotoxicity,6/132,50/18842,0.12,17.1290909090909,9.59202797426157,1.30142235259532e-06,0.000478272714578779,0.000478272714578779,HLA-DRB1/MICA/AGER/HLA-B/HLA-C/HLA-DRA,6
GO:1903039,positive regulation of leukocyte cell-cell adhesion,11/132,250/18842,0.044,6.28066666666667,7.05988700046641,1.51708461957204e-06,0.000524732797828447,0.000524732797828447,HLA-DRB1/NFAT5/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,11
GO:0046879,hormone secretion,11/132,268/18842,0.041044776119403,5.85883084577114,6.72896861895924,2.97537365173515e-06,0.000971955392900149,0.000971955392900149,PPARG/KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/KCNQ1/HNF1B,11
GO:0030073,insulin secretion,9/132,171/18842,0.0526315789473684,7.51275917065391,7.18590268454759,3.30166830565368e-06,0.00102177945459177,0.00102177945459177,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/HNF1B,9
GO:0001912,positive regulation of leukocyte mediated cytotoxicity,6/132,60/18842,0.1,14.2742424242424,8.6500077887143,3.87187071283958e-06,0.00113832998957484,0.00113832998957484,NCR3/HLA-DRB1/RASGRP1/HLA-B/HLA-C/HLA-DRA,6
GO:0050870,positive regulation of T cell activation,10/132,226/18842,0.0442477876106195,6.31603647090373,6.75306660023319,4.4008806686118e-06,0.00115155438062362,0.00115155438062362,HLA-DRB1/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,10
GO:0001909,leukocyte mediated cytotoxicity,8/132,134/18842,0.0597014925373134,8.52193577566712,7.33956610165653,4.66162392354806e-06,0.00115155438062362,0.00115155438062362,NCR3/HLA-DRB1/RASGRP1/MICA/AGER/HLA-B/HLA-C/HLA-DRA,8
GO:0009914,hormone transport,11/132,281/18842,0.0391459074733096,5.58778173190985,6.5081457284683,4.6847899397559e-06,0.00115155438062362,0.00115155438062362,PPARG/KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/KCNQ1/HNF1B,11
GO:0031343,positive regulation of cell killing,6/132,62/18842,0.0967741935483871,13.8137829912023,8.48843176932981,4.70022196172906e-06,0.00115155438062362,0.00115155438062362,NCR3/HLA-DRB1/RASGRP1/HLA-B/HLA-C/HLA-DRA,6
GO:0015833,peptide transport,10/132,238/18842,0.0420168067226891,5.99758085052203,6.51699201059741,6.94976046262213e-06,0.00163458366080873,0.00163458366080873,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/TAP2/HNF1B,10
GO:0022409,positive regulation of cell-cell adhesion,11/132,297/18842,0.037037037037037,5.28675645342312,6.25454415427125,7.92259232513916e-06,0.00179037585068468,0.00179037585068468,HLA-DRB1/NFAT5/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,11
GO:0001709,cell fate determination,4/132,19/18842,0.210526315789474,30.0510366826156,10.641333659845,8.22111360008272e-06,0.00179037585068468,0.00179037585068468,POU5F1/NOTCH2/NOTCH4/TNXB,4
GO:0045165,cell fate commitment,9/132,195/18842,0.0461538461538462,6.58811188811189,6.58840002412719,9.60360421697295e-06,0.00201675688556432,0.00201675688556432,PPARG/POU5F1/GATAD2A/PROX1/NOTCH2/TCF7L2/EYA2/NOTCH4/TNXB,9
GO:0023061,signal release,13/132,430/18842,0.0302325581395349,4.31546863988724,5.8415852055746,1.04556789623754e-05,0.00211997904478509,0.00211997904478509,PPARG/SLC44A4/KCNJ11/HLA-DRB1/SLC30A8/SYN2/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/KCNQ1/HNF1B,13
GO:0001914,regulation of T cell mediated cytotoxicity,5/132,43/18842,0.116279069767442,16.5979563072586,8.60075546282955,1.21576813605632e-05,0.00238290554667039,0.00238290554667039,HLA-DRB1/AGER/HLA-B/HLA-C/HLA-DRA,5
GO:0019885,antigen processing and presentation of endogenous peptide antigen via MHC class I,4/132,22/18842,0.181818181818182,25.9531680440771,9.8362434430777,1.52644385269648e-05,0.00289531930769526,0.00289531930769525,IDE/HLA-B/HLA-C/TAP2,4
GO:0009306,protein secretion,11/132,323/18842,0.0340557275541796,4.86119711042312,5.87917671709461,1.73648612058937e-05,0.00308964838675821,0.00308964838675821,PPARG/KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/MON1A/HNF1B,11
GO:0030072,peptide hormone secretion,9/132,210/18842,0.0428571428571429,6.11753246753247,6.26386750610158,1.73667735858806e-05,0.00308964838675821,0.00308964838675821,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/HNF1B,9
GO:0051249,regulation of lymphocyte activation,13/132,453/18842,0.0286975717439294,4.09636096059937,5.60303937442755,1.81339858166159e-05,0.00308964838675821,0.00308964838675821,ZFP36L2/HLA-DRB1/RASGRP1/LST1/MICA/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,13
GO:0035592,establishment of protein localization to extracellular region,11/132,326/18842,0.0337423312883436,4.81646216768916,5.83845883142661,1.89162146128054e-05,0.00308964838675821,0.00308964838675821,PPARG/KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/MON1A/HNF1B,11
GO:0071692,protein localization to extracellular region,11/132,326/18842,0.0337423312883436,4.81646216768916,5.83845883142661,1.89162146128054e-05,0.00308964838675821,0.00308964838675821,PPARG/KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/MON1A/HNF1B,11
GO:0002790,peptide secretion,9/132,214/18842,0.0420560747663551,6.00318606627018,6.18261884176586,2.01695677420374e-05,0.00320532590062648,0.00320532590062648,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/HNF1A/GIPR/TCF7L2/ADCY5/HNF1B,9
GO:0042269,regulation of natural killer cell mediated cytotoxicity,5/132,49/18842,0.102040816326531,14.5655534941249,7.98618834059479,2.32873659320058e-05,0.00360341346526826,0.00360341346526826,NCR3/RASGRP1/MICA/HLA-B/HLA-C,5
GO:0002706,regulation of lymphocyte mediated immunity,8/132,169/18842,0.0473372781065089,6.75703783396091,6.31447770061575,2.54350963510128e-05,0.00383482991138347,0.00383482991138347,NCR3/HLA-DRB1/RASGRP1/MICA/AGER/HLA-B/HLA-C/HLA-DRA,8
GO:0022407,regulation of cell-cell adhesion,13/132,472/18842,0.0275423728813559,3.93146507447355,5.41755329239084,2.78408420944116e-05,0.0040926037878785,0.0040926037878785,HLA-DRB1/NFAT5/RASGRP1/CDSN/HLA-DRB5/ZMIZ1/HLA-DQA1/NOTCH4/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,13
GO:0009749,response to glucose,8/132,172/18842,0.0465116279069768,6.63918252290345,6.24036888421469,2.88572001292977e-05,0.00413854479903098,0.00413854479903098,HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5/AGER/GCKR,8
GO:0031016,pancreas development,5/132,53/18842,0.0943396226415094,13.4662664379646,7.63351481734784,3.42686240720789e-05,0.00479760737009105,0.00479760737009105,PROX1/HNF1A/TCF7L2/WFS1/HNF1B,5
GO:0051251,positive regulation of lymphocyte activation,10/132,289/18842,0.0346020761245675,4.93918422984167,5.66826555270817,3.71069191851038e-05,0.00502530054340173,0.00502530054340173,HLA-DRB1/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,10
GO:0009746,response to hexose,8/132,179/18842,0.0446927374301676,6.37954968681226,6.07412544966989,3.83665632834355e-05,0.00502530054340173,0.00502530054340173,HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5/AGER/GCKR,8
GO:0010817,regulation of hormone levels,13/132,487/18842,0.026694045174538,3.81037272105034,5.27780395383855,3.84589327301153e-05,0.00502530054340173,0.00502530054340173,PPARG/KCNJ11/HLA-DRB1/SLC30A8/IDE/ABCC8/CYP21A2/HNF1A/GIPR/TCF7L2/ADCY5/KCNQ1/HNF1B,13
GO:0042593,glucose homeostasis,9/132,233/18842,0.0386266094420601,5.51365587202497,5.82300192851409,3.93405948472304e-05,0.00502875429786337,0.00502875429786337,PPARG/HLA-DRB1/ABCC8/HNF1A/TCF7L2/ADCY5/WFS1/AGER/GCKR,9
GO:0002715,regulation of natural killer cell mediated immunity,5/132,55/18842,0.0909090909090909,12.9765840220386,7.47115315520675,4.1079208285053e-05,0.00513927116417259,0.00513927116417259,NCR3/RASGRP1/MICA/HLA-B/HLA-C,5
GO:1903037,regulation of leukocyte cell-cell adhesion,11/132,359/18842,0.0306406685236769,4.37372330547818,5.42091378685264,4.56755953718005e-05,0.00556814730442158,0.00556814730442158,HLA-DRB1/NFAT5/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,11
GO:0001906,cell killing,9/132,238/18842,0.0378151260504202,5.39782276546982,5.73488987648823,4.64012275368465e-05,0.00556814730442158,0.00556814730442158,NCR3/HLA-DRB1/RASGRP1/MICA/AGER/HLA-B/HLA-C/MICB/HLA-DRA,9
GO:0033500,carbohydrate homeostasis,9/132,239/18842,0.0376569037656904,5.37523773297832,5.71756564951134,4.79347741016314e-05,0.00563712943435185,0.00563712943435185,PPARG/HLA-DRB1/ABCC8/HNF1A/TCF7L2/ADCY5/WFS1/AGER/GCKR,9
GO:0034284,response to monosaccharide,8/132,186/18842,0.0430107526881721,6.13945910720104,5.91652449793944,5.03642363383658e-05,0.00580670018959982,0.00580670018959982,HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5/AGER/GCKR,8
GO:0045785,positive regulation of cell adhesion,12/132,437/18842,0.0274599542334096,3.91970043686291,5.18696298814889,5.90609597550183e-05,0.00667843160306745,0.00667843160306745,HLA-DRB1/NFAT5/RASGRP1/RREB1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,12
GO:0050796,regulation of insulin secretion,7/132,149/18842,0.0469798657718121,6.70601993085215,5.87339165919358,8.67454224051859e-05,0.00962383176872628,0.00962383176872628,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5,7
GO:0001916,positive regulation of T cell mediated cytotoxicity,4/132,34/18842,0.117647058823529,16.7932263814617,7.74178413605355,9.06731801783795e-05,0.00987330184164577,0.00987330184164577,HLA-DRB1/HLA-B/HLA-C/HLA-DRA,4
GO:0002696,positive regulation of leukocyte activation,10/132,325/18842,0.0307692307692308,4.39207459207459,5.1811218683315,9.88224421072034e-05,0.0104553071799495,0.0104553071799495,HLA-DRB1/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,10
GO:0009743,response to carbohydrate,8/132,205/18842,0.0390243902439024,5.57043606799704,5.52648013008563,9.95743540947576e-05,0.0104553071799495,0.0104553071799495,HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5/AGER/GCKR,8
GO:0002474,antigen processing and presentation of peptide antigen via MHC class I,4/132,35/18842,0.114285714285714,16.3134199134199,7.61637814425667,0.00010181960534512,0.0105034961303387,0.0105034961303387,IDE/HLA-B/HLA-C/TAP2,4
GO:0002708,positive regulation of lymphocyte mediated immunity,6/132,108/18842,0.0555555555555556,7.93013468013468,6.06652988269248,0.000112489807720187,0.0114041391274948,0.0114041391274948,NCR3/HLA-DRB1/RASGRP1/HLA-B/HLA-C/HLA-DRA,6
GO:0007159,leukocyte cell-cell adhesion,11/132,402/18842,0.027363184079602,3.9058872305141,4.94667492579869,0.000125052509425812,0.0124628602614199,0.0124628602614199,HLA-DRB1/NFAT5/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,11
GO:0002476,antigen processing and presentation of endogenous peptide antigen via MHC class Ib,3/132,15/18842,0.2,28.5484848484849,8.96509369452135,0.000143780361115487,0.0140904753893177,0.0140904753893177,HLA-B/HLA-C/TAP2,3
GO:0002703,regulation of leukocyte mediated immunity,8/132,219/18842,0.0365296803652968,5.21433513214335,5.26900184945346,0.000157080321488063,0.0151415129565542,0.0151415129565542,NCR3/HLA-DRB1/RASGRP1/MICA/AGER/HLA-B/HLA-C/HLA-DRA,8
GO:0050867,positive regulation of cell activation,10/132,345/18842,0.0289855072463768,4.13746157224418,4.94014118835027,0.000160925631415084,0.0152619792374306,0.0152619792374306,HLA-DRB1/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,10
GO:0050863,regulation of T cell activation,10/132,346/18842,0.0289017341040462,4.12550359082151,4.92857295828718,0.000164742460251338,0.0153759629567916,0.0153759629567916,HLA-DRB1/RASGRP1/HLA-DRB5/ZMIZ1/HLA-DQA1/AGER/HLA-DQB1/AIF1/HLA-DQA2/HLA-DRA,10
GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,3/132,16/18842,0.1875,26.7642045454546,8.65963823293505,0.000176054960901072,0.0161750495327859,0.0161750495327859,HLA-B/HLA-C/TAP2,3
GO:0042267,natural killer cell mediated cytotoxicity,5/132,77/18842,0.0649350649350649,9.26898858717041,6.10696621460499,0.000206302714631913,0.0186624609543946,0.0186624609543946,NCR3/RASGRP1/MICA/HLA-B/HLA-C,5
GO:0002456,T cell mediated immunity,6/132,124/18842,0.0483870967741936,6.90689149560117,5.54296531577354,0.000239632367936186,0.021349065507042,0.021349065507042,HLA-DRB1/MICA/AGER/HLA-B/HLA-C/HLA-DRA,6
GO:0032024,positive regulation of insulin secretion,5/132,80/18842,0.0625,8.92140151515152,5.96361366783975,0.00024684633538962,0.021663529135686,0.021663529135686,HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2,5
GO:0046883,regulation of hormone secretion,8/132,236/18842,0.0338983050847458,4.83872624550591,4.98446650347144,0.000261193087880342,0.0225855199520061,0.0225855199520061,PPARG/KCNJ11/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5,8
GO:1903131,mononuclear cell differentiation,11/132,439/18842,0.0250569476082005,3.57668944570995,4.58830281375565,0.000267887082286914,0.022828638316624,0.022828638316624,PPARG/ZFP36L2/HLA-DRB1/RASGRP1/NOTCH2/ZMIZ1/ZBTB46/HHEX/AGER/HLA-B/HLA-DRA,11
GO:0002228,natural killer cell mediated immunity,5/132,83/18842,0.0602409638554217,8.59894121942315,5.82759465396331,0.000293179474483927,0.0246270758566498,0.0246270758566498,NCR3/RASGRP1/MICA/HLA-B/HLA-C,5
GO:0090276,regulation of peptide hormone secretion,7/132,182/18842,0.0384615384615385,5.49009324009324,5.11254661073815,0.000298609621591281,0.0247299235909399,0.0247299235909399,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5,7
GO:0002705,positive regulation of leukocyte mediated immunity,6/132,130/18842,0.0461538461538462,6.58811188811189,5.37005472591469,0.000309271487144568,0.0252571714501398,0.0252571714501398,NCR3/HLA-DRB1/RASGRP1/HLA-B/HLA-C/HLA-DRA,6
GO:0050708,regulation of protein secretion,8/132,245/18842,0.0326530612244898,4.66097711811998,4.84463048588934,0.000335877210860421,0.0270542191761544,0.0270542191761544,PPARG/KCNJ11/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5,8
GO:0002791,regulation of peptide secretion,7/132,186/18842,0.0376344086021505,5.37202671880091,5.03305944222576,0.000340629124915614,0.0270662061419434,0.0270662061419434,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5,7
GO:0090087,regulation of peptide transport,7/132,188/18842,0.0372340425531915,5.31487749838814,4.99417154001148,0.000363348079333412,0.0284864894197395,0.0284864894197395,KCNJ11/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2/ADCY5,7
GO:0002475,antigen processing and presentation via MHC class Ib,3/132,21/18842,0.142857142857143,20.3917748917749,7.46806187749735,0.000407551569852881,0.0308762695179767,0.0308762695179767,HLA-B/HLA-C/TAP2,3
GO:0046887,positive regulation of hormone secretion,6/132,137/18842,0.0437956204379562,6.25149303251493,5.18162843801165,0.000409583167075201,0.0308762695179767,0.0308762695179767,PPARG/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2,6
GO:0050714,positive regulation of protein secretion,6/132,137/18842,0.0437956204379562,6.25149303251493,5.18162843801165,0.000409583167075201,0.0308762695179767,0.0308762695179767,PPARG/HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2,6
GO:0051132,NK T cell activation,3/132,24/18842,0.125,17.842803030303,6.934821790927,0.00061076223090961,0.0454592647816267,0.0454592647816267,NCR3/BAG6/NCR3LG1,3
GO:0002449,lymphocyte mediated immunity,9/132,339/18842,0.0265486725663717,3.78962188254224,4.35337583707394,0.000648759325245826,0.0476838104055682,0.0476838104055682,NCR3/HLA-DRB1/RASGRP1/C2/MICA/AGER/HLA-B/HLA-C/HLA-DRA,9
GO:0002709,regulation of T cell mediated immunity,5/132,100/18842,0.05,7.13712121212121,5.16843169187021,0.00069150702768816,0.0501982879358813,0.0501982879358813,HLA-DRB1/AGER/HLA-B/HLA-C/HLA-DRA,5
GO:0002697,regulation of immune effector process,9/132,347/18842,0.0259365994236311,3.70225307833377,4.26742243863478,0.000765619132600111,0.0549004938986421,0.0549004938986421,NCR3/HLA-DRB1/RASGRP1/C2/MICA/AGER/HLA-B/HLA-C/HLA-DRA,9
GO:0045954,positive regulation of natural killer cell mediated cytotoxicity,3/132,26/18842,0.115384615384615,16.4702797202797,6.63014817983182,0.000776590942184161,0.0550163221691912,0.0550163221691912,NCR3/RASGRP1/HLA-C,3
GO:0090277,positive regulation of peptide hormone secretion,5/132,105/18842,0.0476190476190476,6.7972582972583,5.00344717057905,0.000862561531730974,0.0601288567202798,0.0601288567202798,HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2,5
GO:0006656,phosphatidylcholine biosynthetic process,3/132,27/18842,0.111111111111111,15.8602693602694,6.49020626020292,0.000869209663473433,0.0601288567202798,0.0601288567202798,SLC44A4/GPAT4/STARD10,3
GO:0002793,positive regulation of peptide secretion,5/132,106/18842,0.0471698113207547,6.73313321898228,4.97174188861736,0.000900241146384166,0.0615513714039406,0.0615513714039406,HLA-DRB1/SLC30A8/ABCC8/GIPR/TCF7L2,5
GO:1902105,regulation of leukocyte differentiation,8/132,295/18842,0.0271186440677966,3.87098099640473,4.17451990754101,0.00113192938097449,0.0765028133348279,0.0765028133348279,ZFP36L2/HLA-DRB1/RASGRP1/NOTCH2/ZMIZ1/AGER/HLA-B/HLA-DRA,8
GO:0002711,positive regulation of T cell mediated immunity,4/132,66/18842,0.0606060606060606,8.65105601469238,5.22990569305604,0.00118539215870214,0.0792057487860069,0.0792057487860069,HLA-DRB1/HLA-B/HLA-C/HLA-DRA,4
GO:1902107,positive regulation of leukocyte differentiation,6/132,170/18842,0.0352941176470588,5.0379679144385,4.4421574896492,0.00126707673148816,0.0827823464572266,0.0827823464572266,HLA-DRB1/RASGRP1/NOTCH2/ZMIZ1/AGER/HLA-DRA,6
GO:1903708,positive regulation of hemopoiesis,6/132,170/18842,0.0352941176470588,5.0379679144385,4.4421574896492,0.00126707673148816,0.0827823464572266,0.0827823464572266,HLA-DRB1/RASGRP1/NOTCH2/ZMIZ1/AGER/HLA-DRA,6
GO:0002699,positive regulation of immune effector process,7/132,235/18842,0.0297872340425532,4.25190199871051,4.21342480730713,0.00135249476697176,0.0873919695581752,0.0873919695581752,NCR3/HLA-DRB1/RASGRP1/C2/HLA-B/HLA-C/HLA-DRA,7
GO:0002717,positive regulation of natural killer cell mediated immunity,3/132,32/18842,0.09375,13.3821022727273,5.88812505053885,0.00143677708549733,0.0918287963339596,0.0918287963339596,NCR3/RASGRP1/HLA-C,3
GO:1903706,regulation of hemopoiesis,9/132,382/18842,0.0235602094240838,3.36304140885293,3.9191258695427,0.0014961907241479,0.094597865139674,0.0945978651396739,ZFP36L2/HLA-DRB1/RASGRP1/NOTCH2/ZMIZ1/AGER/HLA-B/HSPA1A/HLA-DRA,9
GO:0046631,alpha-beta T cell activation,6/132,183/18842,0.0327868852459016,4.68007948335817,4.20185061224232,0.00184338773230487,0.115309785808007,0.115309785808007,NCR3/HLA-DRB1/BAG6/NCR3LG1/AGER/HLA-DRA,6
GO:0033674,positive regulation of kinase activity,5/132,126/18842,0.0396825396825397,5.66438191438192,4.41240028217896,0.00194141397750024,0.120163307238962,0.120163307238962,HMGA2/RASGRP1/MST1R/TIGAR/LTA,5
GO:0036500,ATF6-mediated unfolded protein response,2/132,10/18842,0.2,28.5484848484849,7.31899653875316,0.00211269931721174,0.125481535204091,0.125481535204091,WFS1/ATF6B,2
GO:0043379,memory T cell differentiation,2/132,10/18842,0.2,28.5484848484849,7.31899653875316,0.00211269931721174,0.125481535204091,0.125481535204091,HLA-DRB1/HLA-DRA,2
GO:0043380,regulation of memory T cell differentiation,2/132,10/18842,0.2,28.5484848484849,7.31899653875316,0.00211269931721174,0.125481535204091,0.125481535204091,HLA-DRB1/HLA-DRA,2
GO:2000674,regulation of type B pancreatic cell apoptotic process,2/132,10/18842,0.2,28.5484848484849,7.31899653875316,0.00211269931721174,0.125481535204091,0.125481535204091,TCF7L2/WFS1,2
GO:0045444,fat cell differentiation,6/132,191/18842,0.031413612565445,4.4840552118039,4.06492650531518,0.00228545899093178,0.133963453540296,0.133963453540296,PPARG/ZFP36L2/HMGA2/RREB1/TCF7L2/FTO,6
GO:0002832,negative regulation of response to biotic stimulus,5/132,131/18842,0.0381679389312977,5.44818413139024,4.29113276486142,0.00230107292645746,0.133963453540296,0.133963453540296,PPARG/NFKBIL1/MICA/HLA-B/MICB,5
GO:0050873,brown fat cell differentiation,3/132,38/18842,0.0789473684210526,11.2691387559809,5.32234160768783,0.00237005506009622,0.13662670346437,0.13662670346437,PPARG/RREB1/FTO,3
GO:0090715,immunological memory formation process,2/132,11/18842,0.181818181818182,25.9531680440771,6.95324270522915,0.00257036095609878,0.145324254056354,0.145324254056354,HLA-DRB1/HLA-DRA,2
GO:2000392,regulation of lamellipodium morphogenesis,2/132,11/18842,0.181818181818182,25.9531680440771,6.95324270522915,0.00257036095609878,0.145324254056354,0.145324254056354,ARPIN/RREB1,2
GO:0097050,type B pancreatic cell apoptotic process,2/132,12/18842,0.166666666666667,23.790404040404,6.63314566075176,0.0030703133399185,0.171937547035436,0.171937547035436,TCF7L2/WFS1,2
