category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,7/79,175/9392,0.04,4.75544303797468,4.61859705275031,0.00064841888542159,0.00989543603404253,0.00989543603404253,3305/5609/7466/1388/6048/3303/6745,7
Human Diseases,Endocrine and metabolic disease,hsa04950,Maturity onset diabetes of the young,3/79,26/9392,0.115384615384615,13.7176241480039,5.98053790844976,0.00129551903113636,0.0189469658303692,0.0189469658303692,6927/3087/6928,3
Human Diseases,Infectious disease: viral,hsa05165,Human papillomavirus infection,9/79,333/9392,0.027027027027027,3.21313718782073,3.78717162900084,0.00183765150387432,0.0258006271143955,0.0258006271143955,894/4853/534/6934/4855/3106/5522/3107/7148,9
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,6/79,173/9392,0.0346820809248555,4.12321650691447,3.81863281110618,0.00327833548321474,0.044257529023399,0.044257529023399,3123/3127/3117/3119/3118/3122,6
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,6/79,181/9392,0.0331491712707182,3.94097489334919,3.67961073949808,0.00409428521303712,0.0532257077694826,0.0532257077694826,3123/3127/3117/3119/3118/3122,6
Organismal Systems,Immune system,hsa04650,Natural killer cell mediated cytotoxicity,5/79,133/9392,0.037593984962406,4.46940135147997,3.71127371887479,0.00515262663766401,0.0645918553507167,0.0645918553507167,259197/100507436/3106/3107/4277,5
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,4/79,86/9392,0.0465116279069768,5.52958492787754,3.88642931106911,0.00584503088173143,0.0704071240046797,0.0704071240046797,3767/6833/111/1388,4
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,6/79,196/9392,0.0306122448979592,3.6393696719194,3.43916839342452,0.00601770290638288,0.0704071240046797,0.0704071240046797,100507436/6934/5609/3106/3107/4277,6
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,5/79,155/9392,0.032258064516129,3.8350347080441,3.27780732815885,0.00971077669197282,0.109951052222015,0.109951052222015,1030/1589/6934/111/1388,5
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,5/79,157/9392,0.0318471337579618,3.7861807627187,3.24239058790944,0.010229157238805,0.112201068463142,0.112201068463142,1030/678/894/3106/3107,5
Organismal Systems,Digestive system,hsa04972,Pancreatic secretion,4/79,102/9392,0.0392156862745098,4.66219905683793,3.42498630887991,0.0105759946052856,0.112490124438038,0.112490124438038,440387/1504/111/3784,4
Human Diseases,Infectious disease: viral,hsa05163,Human cytomegalovirus infection,6/79,227/9392,0.026431718061674,3.14236324095243,3.00929294117874,0.0119663657878648,0.123535129162957,0.123535129162957,111/9564/1388/3106/3107/6891,6
Organismal Systems,Aging,hsa04213,Longevity regulating pathway - multiple species,3/79,62/9392,0.0483870967741936,5.75255206206615,3.45785334831158,0.0151806510861293,0.152240243749468,0.152240243749468,3305/111/3303,3
Environmental Information Processing,Signal transduction,hsa04330,Notch signaling pathway,3/79,63/9392,0.0476190476190476,5.66124171187462,3.41884189149387,0.0158448731308882,0.15448751302616,0.15448751302616,7088/4853/4855,3
Metabolism,Lipid metabolism,hsa00561,Glycerolipid metabolism,3/79,65/9392,0.0461538461538462,5.48704965920156,3.34326829923427,0.0172219218401343,0.159076172786504,0.159076172786504,7920/10554/137964,3
Organismal Systems,Endocrine system,hsa04927,Cortisol synthesis and secretion,3/79,65/9392,0.0461538461538462,5.48704965920156,3.34326829923427,0.0172219218401343,0.159076172786504,0.159076172786504,1589/111/1388,3
Human Diseases,Infectious disease: viral,hsa05162,Measles,4/79,136/9392,0.0294117647058824,3.49664929262844,2.70109579249825,0.0274270953410727,0.246843858069655,0.246843858069655,1460/894/3305/3303,4
Human Diseases,Cancer: overview,hsa05203,Viral carcinogenesis,5/79,205/9392,0.024390243902439,2.89966038900895,2.53274055140625,0.0289346874968558,0.251715838157643,0.251715838157643,1030/894/1388/3106/3107,5
Organismal Systems,Endocrine system,hsa04915,Estrogen signaling pathway,4/79,139/9392,0.0287769784172662,3.42118204170841,2.64861129950588,0.0294027047420609,0.251715838157643,0.251715838157643,3305/111/1388/3303,4
Human Diseases,Cardiovascular disease,hsa05417,Lipid and atherosclerosis,5/79,216/9392,0.0231481481481482,2.75199249882794,2.39914822192148,0.0351071899668701,0.293395801865986,0.293395801865986,5468/3305/5609/177/3303,5
Human Diseases,Cancer: specific types,hsa05216,Thyroid cancer,2/79,37/9392,0.0540540540540541,6.42627437564147,3.04582803884971,0.0384839051168498,0.314136062698006,0.314136062698006,5468/6934,2
Organismal Systems,Aging,hsa04211,Longevity regulating pathway,3/79,90/9392,0.0333333333333333,3.96286919831224,2.60117894918341,0.0399354713026183,0.316134441963689,0.316134441963689,5468/111/1388,3
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,4/79,154/9392,0.025974025974026,3.08795002465889,2.40611369753703,0.0405300566620114,0.316134441963689,0.316134441963689,111/3784/1388/5522,4
Organismal Systems,Endocrine system,hsa04925,Aldosterone synthesis and secretion,3/79,98/9392,0.0306122448979592,3.6393696719194,2.41900402104342,0.0493215303538212,0.376344720743288,0.376344720743288,1589/111/1388,3
Human Diseases,Drug resistance: antineoplastic,hsa01522,Endocrine resistance,3/79,99/9392,0.0303030303030303,3.60260836210203,2.39758003761459,0.0505644897778103,0.37761991302152,0.37761991302152,4853/111/4855,3
Environmental Information Processing,Membrane transport,hsa02010,ABC transporters,2/79,45/9392,0.0444444444444444,5.28382559774965,2.65293483019398,0.0548093429857009,0.390930360588521,0.390930360588521,6833/6891,2
Genetic Information Processing,Translation,hsa03015,mRNA surveillance pathway,3/79,103/9392,0.029126213592233,3.4627012412437,2.31457109180258,0.0556880855539204,0.390930360588521,0.390930360588521,8761/5522/7919,3
Organismal Systems,Digestive system,hsa04974,Protein digestion and absorption,3/79,103/9392,0.029126213592233,3.4627012412437,2.31457109180258,0.0556880855539204,0.390930360588521,0.390930360588521,440387/1504/3784,3
Cellular Processes,Transport and catabolism,hsa04144,Endocytosis,5/79,250/9392,0.02,2.37772151898734,2.03345938316104,0.0590691943522701,0.399685066797608,0.399685066797608,116985/3305/3106/3107/3303,5
Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,2/79,47/9392,0.0425531914893617,5.05898195529222,2.56921862195353,0.0592126024885346,0.399685066797608,0.399685066797608,3767/6833,2
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,4/79,178/9392,0.0224719101123596,2.67159721234533,2.07368220023425,0.0626964943414223,0.414270869436127,0.414270869436127,1460/7088/894/6934,4
Human Diseases,Substance dependence,hsa05030,Cocaine addiction,2/79,49/9392,0.0408163265306122,4.85249289589253,2.49012630781187,0.0637339799132503,0.414270869436127,0.414270869436127,111/1388,2
Human Diseases,Infectious disease: bacterial,hsa05110,Vibrio cholerae infection,2/79,51/9392,0.0392156862745098,4.66219905683793,2.41521063795521,0.0683683958269341,0.43631467155007,0.43631467155007,534/3784,2
Environmental Information Processing,Signal transduction,hsa04668,TNF signaling pathway,3/79,119/9392,0.0252100840336134,2.9971279651101,2.01926774573999,0.0785146025431498,0.492118312368671,0.492118312368671,5609/1388/4049,3
Human Diseases,Infectious disease: bacterial,hsa05134,Legionellosis,2/79,56/9392,0.0357142857142857,4.24593128390597,2.24376607855686,0.0804168392464703,0.494905599786621,0.494905599786621,3305/3303,2
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,3/79,122/9392,0.0245901639344262,2.92342809711558,1.96943054142733,0.0831892603629933,0.494905599786621,0.494905599786621,10125/5609/5522,3
Organismal Systems,Endocrine system,hsa04935,"Growth hormone synthesis, secretion and action",3/79,122/9392,0.0245901639344262,2.92342809711558,1.96943054142733,0.0831892603629933,0.494905599786621,0.494905599786621,111/9564/1388,3
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,4/79,201/9392,0.0199004975124378,2.36589205869387,1.80284209574099,0.0888569148920158,0.519812952118293,0.519812952118293,5468/8091/894/3087,4
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,3/79,130/9392,0.0230769230769231,2.74352482960078,1.84362287827719,0.0962229896732539,0.546029937020482,0.546029937020482,111/5609/1388,3
Metabolism,Metabolism of cofactors and vitamins,hsa00130,Ubiquinone and other terpenoid-quinone biosynthesis,1/79,12/9392,0.0833333333333333,9.90717299578059,2.84350342419403,0.0964497324651564,0.546029937020482,0.546029937020482,1728,1
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,3/79,133/9392,0.0225563909774436,2.68164081088798,1.79887787942827,0.101315028430846,0.564469444114715,0.564469444114715,111/1388/5522,3
Human Diseases,Infectious disease: viral,hsa05170,Human immunodeficiency virus 1 infection,4/79,214/9392,0.0186915887850467,2.2221696439134,1.6656702039386,0.105648933489999,0.579418369609214,0.579418369609214,5609/3106/3107/6891,4
Human Diseases,Substance dependence,hsa05031,Amphetamine addiction,2/79,69/9392,0.0289855072463768,3.44597321592368,1.87811882066905,0.114390423655163,0.617708287737882,0.617708287737882,111/1388,2
Human Diseases,Endocrine and metabolic disease,hsa04936,Alcoholic liver disease,3/79,144/9392,0.0208333333333333,2.47679324894515,1.64475682913339,0.120874205427413,0.642831001591241,0.642831001591241,717/6934/5609,3
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,3/79,148/9392,0.0202702702702703,2.40985289086555,1.59220635466621,0.128311305328312,0.672198032391607,0.672198032391607,4853/6934/4855,3
Organismal Systems,Endocrine system,hsa04918,Thyroid hormone synthesis,2/79,75/9392,0.0266666666666667,3.17029535864979,1.7379452466356,0.131122749301712,0.676824779483838,0.676824779483838,111/1388,2
Organismal Systems,Digestive system,hsa04971,Gastric acid secretion,2/79,76/9392,0.0263157894736842,3.12858094603598,1.71595893683173,0.133964928866956,0.678799804195195,0.678799804195195,111/3784,2
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,5/79,323/9392,0.0154798761609907,1.84034173296234,1.41547484788161,0.135373180323828,0.678799804195195,0.678799804195195,8091/894/4853/4855/7148,5
Metabolism,Carbohydrate metabolism,hsa00562,Inositol phosphate metabolism,2/79,78/9392,0.0256410256410256,3.04836092177864,1.67305543398578,0.139691131023122,0.69058573224107,0.69058573224107,23262/9807,2
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,3/79,157/9392,0.0191082802547771,2.27170845763122,1.47993826845778,0.145621169133731,0.700178498163556,0.700178498163556,5468/9564/177,3
Environmental Information Processing,Signal transduction,hsa04390,Hippo signaling pathway,3/79,157/9392,0.0191082802547771,2.27170845763122,1.47993826845778,0.145621169133731,0.700178498163556,0.700178498163556,894/6934/5522,3
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,3/79,166/9392,0.0180722891566265,2.14854354125362,1.37505302956623,0.163656464289134,0.776262418452515,0.776262418452515,111/1388/2969,3
Human Diseases,Cancer: overview,hsa05235,PD-L1 expression and PD-1 checkpoint pathway in cancer,2/79,90/9392,0.0222222222222222,2.64191279887482,1.44147740685309,0.175047557844279,0.819222570711227,0.819222570711227,1460/10125,2
Cellular Processes,Cellular community - eukaryotes,hsa04520,Adherens junction,2/79,93/9392,0.021505376344086,2.55668980536273,1.389472949023,0.184105247601368,0.839233011793247,0.839233011793247,1460/6934,2
Organismal Systems,Endocrine system,hsa04912,GnRH signaling pathway,2/79,93/9392,0.021505376344086,2.55668980536273,1.389472949023,0.184105247601368,0.839233011793247,0.839233011793247,111/5609,2
Environmental Information Processing,Signal transduction,hsa04070,Phosphatidylinositol signaling system,2/79,98/9392,0.0204081632653061,2.42624644794627,1.30716660469616,0.199348347062325,0.891222128872938,0.891222128872938,23262/9807,2
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,4/79,275/9392,0.0145454545454545,1.72925201380898,1.13042738796716,0.200588456356017,0.891222128872938,0.891222128872938,1460/3305/1388/3303,4
Organismal Systems,Endocrine system,hsa04916,Melanogenesis,2/79,101/9392,0.0198019801980198,2.35417972176965,1.26017374599993,0.208568041664348,0.902739882967928,0.902739882967928,6934/111,2
Metabolism,Lipid metabolism,hsa00062,Fatty acid elongation,1/79,28/9392,0.0357142857142857,4.24593128390597,1.58420835431529,0.210896496875698,0.902739882967928,0.902739882967928,9374,1
Organismal Systems,Excretory system,hsa04966,Collecting duct acid secretion,1/79,28/9392,0.0357142857142857,4.24593128390597,1.58420835431529,0.210896496875698,0.902739882967928,0.902739882967928,534,1
Metabolism,Lipid metabolism,hsa00564,Glycerophospholipid metabolism,2/79,104/9392,0.0192307692307692,2.28627069133398,1.21482187833334,0.217832914666085,0.912310395854224,0.912310395854224,10554/137964,2
Environmental Information Processing,Signal transduction,hsa04064,NF-kappa B signaling pathway,2/79,105/9392,0.0190476190476191,2.26449668474985,1.20004984796593,0.220929867941906,0.912310395854224,0.912310395854224,1460/4049,2
Cellular Processes,Transport and catabolism,hsa04137,Mitophagy - animal,2/79,105/9392,0.0190476190476191,2.26449668474985,1.20004984796593,0.220929867941906,0.912310395854224,0.912310395854224,1460/84315,2
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,5/79,388/9392,0.0128865979381443,1.53203706120318,0.985745197680748,0.227334628986656,0.927842497375772,0.927842497375772,1460/57181/3416/5609/177,5
Genetic Information Processing,"Folding, sorting and degradation",hsa03060,Protein export,1/79,31/9392,0.032258064516129,3.8350347080441,1.45613878228106,0.230702543597236,0.930765434512988,0.930765434512988,7917,1
Cellular Processes,Cellular community - eukaryotes,hsa04510,Focal adhesion,3/79,203/9392,0.0147783251231527,1.75693708299557,1.0041494156189,0.243544637096392,0.956579908805672,0.956579908805672,894/9564/7148,3
Genetic Information Processing,"Folding, sorting and degradation",hsa04130,SNARE interactions in vesicular transport,1/79,33/9392,0.0303030303030303,3.60260836210203,1.37935397756958,0.243633057853495,0.956579908805672,0.956579908805672,143187,1
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,4/79,300/9392,0.0133333333333333,1.58514767932489,0.948682884166148,0.245276899693762,0.956579908805672,0.956579908805672,10125/3305/5609/3303,4
Organismal Systems,Nervous system,hsa04725,Cholinergic synapse,2/79,115/9392,0.0173913043478261,2.06758392955421,1.06089361107804,0.252066646377276,0.961689053026345,0.961689053026345,111/3784,2
Organismal Systems,Endocrine system,hsa04928,"Parathyroid hormone synthesis, secretion and action",2/79,115/9392,0.0173913043478261,2.06758392955421,1.06089361107804,0.252066646377276,0.961689053026345,0.961689053026345,111/1388,2
Metabolism,Carbohydrate metabolism,hsa00051,Fructose and mannose metabolism,1/79,35/9392,0.0285714285714286,3.39674502712477,1.30831465707014,0.256348938702773,0.967510510587886,0.967510510587885,57103,1
Environmental Information Processing,Signal transduction,hsa04152,AMPK signaling pathway,2/79,122/9392,0.0163934426229508,1.94895206474372,0.971648059763425,0.273952383225115,0.996416418209723,0.996416418209723,5468/5522,2
Organismal Systems,Endocrine system,hsa04919,Thyroid hormone signaling pathway,2/79,122/9392,0.0163934426229508,1.94895206474372,0.971648059763425,0.273952383225115,0.996416418209723,0.996416418209723,4853/4855,2
Human Diseases,Immune disease,hsa05340,Primary immunodeficiency,1/79,38/9392,0.0263157894736842,3.12858094603598,1.21089908273785,0.275028001872807,0.996416418209723,0.996416418209723,6891,1
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,3/79,217/9392,0.0138248847926267,1.64358630344747,0.883401816498744,0.275362941784453,0.996416418209723,0.996416418209723,4853/111/1388,3
Organismal Systems,Immune system,hsa04611,Platelet activation,2/79,126/9392,0.0158730158730159,1.88708057062487,0.923266028951427,0.286455872321738,1,1,10125/111,2
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,1/79,43/9392,0.0232558139534884,2.76479246393877,1.06824274728561,0.305135635101621,1,1,10554,1
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,2/79,133/9392,0.0150375939849624,1.78776054059199,0.842679959705007,0.308284352547104,1,1,1030/894,2
Genetic Information Processing,Transcription,hsa03022,Basal transcription factors,1/79,44/9392,0.0227272727272727,2.70195627157652,1.04217355394481,0.311007309593757,1,1,2969,1
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,2/79,138/9392,0.0144927536231884,1.72298660796184,0.788006342223901,0.323804962103563,1,1,5609/9564,2
Genetic Information Processing,Transcription,hsa03040,Spliceosome,3/79,243/9392,0.0123456790123457,1.46772933270824,0.680355020840966,0.335385327334649,1,1,3305/7919/3303,3
Genetic Information Processing,"Folding, sorting and degradation",hsa04120,Ubiquitin mediated proteolysis,2/79,142/9392,0.0140845070422535,1.67445177393475,0.745845496145622,0.336162166557368,1,1,7325/9690,2
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,2/79,142/9392,0.0140845070422535,1.67445177393475,0.745845496145622,0.336162166557368,1,1,5468/5609,2
Human Diseases,Cardiovascular disease,hsa05418,Fluid shear stress and atherosclerosis,2/79,142/9392,0.0140845070422535,1.67445177393475,0.745845496145622,0.336162166557368,1,1,5609/1728,2
Metabolism,Glycan biosynthesis and metabolism,hsa00514,Other types of O-glycan biosynthesis,1/79,49/9392,0.0204081632653061,2.42624644794627,0.921879390158207,0.339638803585282,1,1,6480,1
Cellular Processes,Transport and catabolism,hsa04142,Lysosome biogenesis,3/79,250/9392,0.012,1.42663291139241,0.6296923470237,0.351587458773102,1,1,9374/534/10239,3
Organismal Systems,Endocrine system,hsa04913,Ovarian steroidogenesis,1/79,52/9392,0.0192307692307692,2.28627069133398,0.856614205500109,0.356250434517544,1,1,111,1
Environmental Information Processing,Signal transduction,hsa04072,Phospholipase D signaling pathway,2/79,149/9392,0.0134228187919463,1.59578625435392,0.675152377487419,0.357628464484373,1,1,10554/111,2
Human Diseases,Cancer: specific types,hsa05226,Gastric cancer,2/79,150/9392,0.0133333333333333,1.58514767932489,0.665354040937043,0.360676272368459,1,1,1030/6934,2
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,4/79,362/9392,0.0110497237569061,1.31365829778306,0.560520958222386,0.363009863586783,1,1,894/1388/5522/7148,4
Metabolism,Amino acid metabolism,hsa00270,Cysteine and methionine metabolism,1/79,54/9392,0.0185185185185185,2.20159399906235,0.815553320523888,0.367094939504,1,1,4507,1
Environmental Information Processing,Signaling molecules and interaction,hsa04518,Integrin signaling,2/79,154/9392,0.012987012987013,1.54397501232944,0.626866406200302,0.372815141822782,1,1,894/7148,2
Environmental Information Processing,Signal transduction,hsa04340,Hedgehog signaling pathway,1/79,56/9392,0.0178571428571429,2.12296564195298,0.776255562553656,0.377759033602092,1,1,894,1
Metabolism,Glycan biosynthesis and metabolism,hsa00510,N-Glycan biosynthesis,1/79,57/9392,0.0175438596491228,2.08572063069065,0.75722164807319,0.383024354547404,1,1,6480,1
Metabolism,Global and overview maps,hsa01212,Fatty acid metabolism,1/79,57/9392,0.0175438596491228,2.08572063069065,0.75722164807319,0.383024354547404,1,1,9374,1
Cellular Processes,Cell growth and death,hsa04110,Cell cycle,2/79,158/9392,0.0126582278481013,1.50488703733376,0.589457493974375,0.384864293658514,1,1,1030/894,2
Organismal Systems,Endocrine system,hsa04923,Regulation of lipolysis in adipocytes,1/79,59/9392,0.0169491525423729,2.01501823642995,0.72030077568443,0.393423373823227,1,1,111,1
Human Diseases,Cancer: specific types,hsa05213,Endometrial cancer,1/79,59/9392,0.0169491525423729,2.01501823642995,0.72030077568443,0.393423373823227,1,1,6934,1
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,2/79,163/9392,0.0122699386503067,1.45872485827444,0.544118408122648,0.399788310609747,1,1,5609/1388,2
Human Diseases,Cancer: specific types,hsa05217,Basal cell carcinoma,1/79,63/9392,0.0158730158730159,1.88708057062487,0.650639551314515,0.413704981134583,1,1,6934,1
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,2/79,170/9392,0.0117647058823529,1.39865971705138,0.483102094485356,0.42040205022355,1,1,5609/5522,2
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,2/79,170/9392,0.0117647058823529,1.39865971705138,0.483102094485356,0.42040205022355,1,1,6934/1728,2
Organismal Systems,Endocrine system,hsa04929,GnRH secretion,1/79,65/9392,0.0153846153846154,1.82901655306719,0.617694247204562,0.423593212597591,1,1,3767,1
Metabolism,Lipid metabolism,hsa00140,Steroid hormone biosynthesis,1/79,66/9392,0.0151515151515152,1.80130418105102,0.601653344837408,0.428475397244829,1,1,1589,1
Human Diseases,Cancer: specific types,hsa05221,Acute myeloid leukemia,1/79,68/9392,0.0147058823529412,1.74832464631422,0.570384923236561,0.4381176041209,1,1,6934,1
Organismal Systems,Immune system,hsa04664,Fc epsilon RI signaling pathway,1/79,69/9392,0.0144927536231884,1.72298660796184,0.555138848890477,0.442878297951278,1,1,5609,1
Organismal Systems,Endocrine system,hsa04924,Renin secretion,1/79,69/9392,0.0144927536231884,1.72298660796184,0.555138848890477,0.442878297951278,1,1,111,1
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,1/79,71/9392,0.0140845070422535,1.67445177393475,0.52537993941331,0.452280524920699,1,1,894,1
Human Diseases,Infectious disease: bacterial,hsa05120,Epithelial cell signaling in Helicobacter pylori infection,1/79,71/9392,0.0140845070422535,1.67445177393475,0.52537993941331,0.452280524920699,1,1,534,1
Human Diseases,Cancer: overview,hsa05230,Central carbon metabolism in cancer,1/79,71/9392,0.0140845070422535,1.67445177393475,0.52537993941331,0.452280524920699,1,1,57103,1
Cellular Processes,Cell growth and death,hsa04115,p53 signaling pathway,1/79,75/9392,0.0133333333333333,1.58514767932489,0.468578907386704,0.470617454550153,1,1,894,1
Organismal Systems,Endocrine system,hsa03320,PPAR signaling pathway,1/79,76/9392,0.0131578947368421,1.56429047301799,0.454903668074013,0.475106154892596,1,1,5468,1
Human Diseases,Substance dependence,hsa05034,Alcoholism,2/79,191/9392,0.0104712041884817,1.24488037643316,0.314903738751463,0.480006890407196,1,1,111/1388,2
Human Diseases,Neurodegenerative disease,hsa05016,Huntington disease,3/79,308/9392,0.00974025974025974,1.15798125924708,0.259637268268065,0.482316799956097,1,1,5468/56171/5609,3
